Years,Countries,Exportation
2021,PHL,70
2020,PHL,65
2019,PHL,75
2018,PHL,71
2017,PHL,60
2016,PHL,77
2015,PHL,50
2014,PHL,49
2013,PHL,32
2012,PHL,28
2011,PHL,39
2010,PHL,41
2009,PHL,36
2008,IND,23
2007,PHL,30
2006,BRA,4
2005,EGY,10
2004,EGY,10
2003,EGY,10
2002,BRA,5
2001,BRA,5
2000,BRA,3
1999,BRA,4
1998,BRA,7
1997,EGY,1
1996,EGY,3
1995,BRA,1
1994,BRA,1
1993,EGY,2
1992,IDN,7
1991,BRA,1
1990,IDN,5
1989,CHN,8
1988,CHN,8
1987,CHN,7
1986,CHN,7
1985,TUR,112
1984,PHL,9
1983,IND,35
1982,IND,100
1981,TUR,337
1980,IND,55
1979,TUR,440
1978,IND,614
1977,IND,536
1976,TUR,52
1975,AUS,8663
1974,CHN,5
1973,CHN,5
1972,CHN,5
1971,CHN,5
1970,CHN,3
1969,CHN,1
1968,CHN,1
1967,EGY,12
1966,EGY,29
1965,CHN,4
1964,EGY,12
1963,EGY,19
1962,EGY,15
1961,TUR,1
1960,TUR,1
