Years,Countries,Production
2021,BRA,6800
2020,BRA,6250
2019,BRA,5200
2018,BRA,5428
2017,BRA,4264
2016,BRA,6730
2015,BRA,5540
2014,BRA,6000
2013,BRA,5300
2012,BRA,4380
2011,BRA,5800
2010,BRA,5900
2009,BRA,5026
2008,BRA,5880
2007,BRA,3825
2006,BRA,2234
2005,BRA,4873
2004,BRA,5845
2003,BRA,5851
2002,BRA,2925
2001,BRA,3250
2000,BRA,1660
1999,BRA,2403
1998,BRA,2188
1997,BRA,2380
1996,BRA,3195
1995,BRA,1526
1994,BRA,2138
1993,BRA,2107
1992,BRA,2739
1991,BRA,3078
1990,BRA,3300
1989,EGY,3183
1988,EGY,2839
1987,EGY,2443
1986,EGY,1929
1985,EGY,1873
1984,EGY,1815
1983,EGY,1996
1982,BRA,1849
1981,EGY,1938
1980,EGY,1796
1979,EGY,1856
1978,EGY,1933
1977,EGY,1697
1976,EGY,1960
1975,BRA,1788
1974,EGY,1883
1973,EGY,1837
1972,BRA,694
1971,EGY,1729
1970,EGY,1519
1969,BRA,1146
1968,BRA,694
1967,BRA,365
1966,BRA,299
1965,BRA,222
1964,BRA,226
1963,BRA,100
1962,BRA,256
1961,BRA,250
1960,BRA,350
