Years,Countries,Importatoin ($)
1961,DEU,285390.0
1962,DEU,314840.0
1963,CHN,419000.0
1964,IND,447432.0
1965,IND,480440.0
1966,IND,609293.0
1967,IND,549425.0
1968,IND,367996.0
1969,GBR,317542.0
1970,CHN,371000.0
1971,GBR,335894.0
1972,DEU,415160.0
1973,CHN,655000.0
1974,CHN,1157000.0
1975,IND,1404336.0
1976,IND,1182508.0
1977,CHN,1175800.0
1978,CHN,1343000.0
1979,CHN,1742000.0
1980,CHN,2436000.0
1981,CHN,2822600.0
1982,CHN,2882227.0
1983,CHN,2070840.0
1984,CHN,1712380.0
1985,CHN,885977.0
1986,CHN,815157.0
1987,CHN,1362381.0
1988,CHN,1731038.0
1989,CHN,2581207.0
1990,CHN,2156528.0
1991,RUS,3860000.0
1992,RUS,2563317.0
1993,RUS,907000.0
1994,CHN,960577.0
1995,CHN,2026390.0
1996,CHN,1890396.0
1997,BRA,974490.0
1998,EGY,816170.0
1999,BRA,832136.0
2000,BRA,981191.0
2001,BRA,872341.0
2002,BRA,878167.0
2003,BRA,1009719.0
2004,CHN,1640418.0
2005,EGY,924381.0
2006,EGY,1368343.0
2007,EGY,2160350.0
2008,EGY,2461716.0
2009,EGY,2200000.0
2010,EGY,2598263.0
2011,EGY,3199207.0
2012,EGY,3689027.0
2013,EGY,2715936.0
2014,EGY,3157355.0
2015,EGY,2415467.0
2016,IDN,2408210.0
2017,IDN,3627763.0
2018,EGY,2636468.0
2019,EGY,3024161.0
