Years,Countries,Exportation
1981,USA,48191
1987,USA,43215
2017,RUS,41447
1980,USA,41200
1982,USA,41058
2021,RUS,40000
2020,RUS,39500
1983,USA,38820
1984,USA,38685
1988,USA,38506
1979,USA,37426
1992,USA,36838
2018,RUS,35863
2010,USA,35147
1991,USA,34899
2019,RUS,34485
2007,USA,34363
1995,USA,33778
1989,USA,33528
1993,USA,33414
1973,USA,33120
1978,USA,32499
1994,USA,32340
2013,USA,32012
1975,USA,31921
2003,USA,31524
1977,USA,30587
1972,USA,30382
1999,USA,29570
1990,USA,29106
2004,USA,29009
2000,USA,28904
2011,USA,28606
2016,USA,28600
1998,USA,28460
1997,USA,28315
1974,USA,27719
2008,USA,27635
2012,USA,27544
2005,USA,27291
1996,USA,27257
1986,USA,27175
2001,USA,26190
1976,USA,25842
2015,RUS,25546
1985,USA,24742
2006,USA,24725
2014,CAN,24170
2009,USA,23931
1965,USA,23188
2002,USA,23139
1963,USA,23024
1966,USA,20983
1967,USA,20820
1970,USA,20167
1964,USA,19677
1961,USA,19486
1960,USA,17799
1962,USA,17663
1969,USA,16411
1971,USA,16311
1968,USA,14805
