Years,Countries,Production
2021,CHN,136000
2017,CHN,134334
2020,CHN,134250
2019,CHN,133590
2016,CHN,133271
2015,CHN,132639
2018,CHN,131430
2014,CHN,128321
2013,CHN,123710
1997,CHN,123289
2012,CHN,122540
2011,CHN,118625
2010,CHN,116141
2009,CHN,115834
1999,CHN,113880
2008,CHN,112932
1996,CHN,110570
1998,CHN,109726
2007,CHN,109525
2006,CHN,108466
1993,CHN,106390
1995,CHN,102215
1992,CHN,101590
2000,CHN,99640
1994,CHN,99300
1990,CHN,98229
2005,CHN,97445
1991,CHN,96000
2001,CHN,93873
2004,CHN,91952
1989,CHN,90807
2002,CHN,90290
1986,CHN,90040
1984,CHN,87815
1987,CHN,87764
2003,CHN,86490
1985,CHN,85810
1988,CHN,85432
1983,CHN,81390
1981,USA,75805
1982,USA,75250
1980,USA,64798
1979,CHN,62730
1976,USA,58480
1975,USA,57885
1977,USA,55670
1978,CHN,53840
1974,USA,48496
1973,USA,46560
1971,USA,44052
1968,USA,42375
1972,USA,42081
1967,USA,41014
1969,USA,39272
1960,USA,36877
1970,USA,36795
1966,USA,35788
1965,USA,34917
1964,USA,34917
1961,USA,33557
1963,USA,31216
1962,USA,29719
