Years,Countries,Production
2021,Brazil,6800
2020,Brazil,6250
2019,Brazil,5200
2018,Brazil,5428
2017,Brazil,4264
2016,Brazil,6730
2015,Brazil,5540
2014,Brazil,6000
2013,Brazil,5300
2012,Brazil,4380
2011,Brazil,5800
2010,Brazil,5900
2009,Brazil,5026
2008,Brazil,5880
2007,Brazil,3825
2006,Brazil,2234
2005,Brazil,4873
2004,Brazil,5845
2003,Brazil,5851
2002,Brazil,2925
2001,Brazil,3250
2000,Brazil,1660
1999,Brazil,2403
1998,Brazil,2188
1997,Brazil,2380
1996,Brazil,3195
1995,Brazil,1526
1994,Brazil,2138
1993,Brazil,2107
1992,Brazil,2739
1991,Brazil,3078
1990,Brazil,3300
1989,Egypt,3183
1988,Egypt,2839
1987,Egypt,2443
1986,Egypt,1929
1985,Egypt,1873
1984,Egypt,1815
1983,Egypt,1996
1982,Brazil,1849
1981,Egypt,1938
1980,Egypt,1796
1979,Egypt,1856
1978,Egypt,1933
1977,Egypt,1697
1976,Egypt,1960
1975,Brazil,1788
1974,Egypt,1883
1973,Egypt,1837
1972,Brazil,694
1971,Egypt,1729
1970,Egypt,1519
1969,Brazil,1146
1968,Brazil,694
1967,Brazil,365
1966,Brazil,299
1965,Brazil,222
1964,Brazil,226
1963,Brazil,100
1962,Brazil,256
1961,Brazil,250
1960,Brazil,350
