Years,Countries,Importatoin ($)
1961,Germany,285390.0
1962,Germany,314840.0
1963,"China, mainland",419000.0
1964,India,447432.0
1965,India,480440.0
1966,India,609293.0
1967,India,549425.0
1968,India,367996.0
1969,United Kingdom,317542.0
1970,"China, mainland",371000.0
1971,United Kingdom,335894.0
1972,Germany,415160.0
1973,"China, mainland",655000.0
1974,"China, mainland",1157000.0
1975,India,1404336.0
1976,India,1182508.0
1977,"China, mainland",1175800.0
1978,"China, mainland",1343000.0
1979,"China, mainland",1742000.0
1980,"China, mainland",2436000.0
1981,"China, mainland",2822600.0
1982,"China, mainland",2882227.0
1983,"China, mainland",2070840.0
1984,"China, mainland",1712380.0
1985,"China, mainland",885977.0
1986,"China, mainland",815157.0
1987,"China, mainland",1362381.0
1988,"China, mainland",1731038.0
1989,"China, mainland",2581207.0
1990,"China, mainland",2156528.0
1991,Russian Federation,3860000.0
1992,Russian Federation,2563317.0
1993,Russian Federation,907000.0
1994,"China, mainland",960577.0
1995,"China, mainland",2026390.0
1996,"China, mainland",1890396.0
1997,Brazil,974490.0
1998,Egypt,816170.0
1999,Brazil,832136.0
2000,Brazil,981191.0
2001,Brazil,872341.0
2002,Brazil,878167.0
2003,Brazil,1009719.0
2004,"China, mainland",1640418.0
2005,Egypt,924381.0
2006,Egypt,1368343.0
2007,Egypt,2160350.0
2008,Egypt,2461716.0
2009,Egypt,2200000.0
2010,Egypt,2598263.0
2011,Egypt,3199207.0
2012,Egypt,3689027.0
2013,Egypt,2715936.0
2014,Egypt,3157355.0
2015,Egypt,2415467.0
2016,Indonesia,2408210.0
2017,Indonesia,3627763.0
2018,Egypt,2636468.0
2019,Egypt,3024161.0
