Country,Australia,Brazil,Canada,China,Egypt,India,Indonesia,Philippines,Russia,Turkey,United Kingdom,United States
Commodity,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat
Attribute,Exports,Exports,Exports,Exports,Exports,Exports,Exports,Exports,Exports,Exports,Exports,Exports
Frequency,A,A,A,A,A,A,A,A,A,A,A,A
1960-01-01,6456.0,0.0,9614.0,2.0,5.0,0.0,0.0,0.0,,1.0,,17799.0
1961-01-01,4950.0,0.0,9744.0,122.0,6.0,0.0,0.0,0.0,,1.0,,19486.0
1962-01-01,6148.0,0.0,9018.0,89.0,15.0,0.0,0.0,0.0,,0.0,,17663.0
1963-01-01,6986.0,0.0,16181.0,113.0,19.0,0.0,0.0,0.0,,0.0,,23024.0
1964-01-01,7321.0,0.0,10875.0,115.0,12.0,0.0,0.0,0.0,,0.0,,19677.0
1965-01-01,4691.0,0.0,15918.0,4.0,21.0,0.0,0.0,0.0,,0.0,,23188.0
1966-01-01,8497.0,0.0,14024.0,30.0,29.0,0.0,0.0,0.0,,0.0,,20983.0
1967-01-01,5654.0,0.0,9145.0,13.0,12.0,0.0,0.0,0.0,,0.0,,20820.0
1968-01-01,6371.0,3.0,8323.0,1.0,0.0,1.0,0.0,0.0,,2.0,,14805.0
1969-01-01,8047.0,0.0,9430.0,1.0,0.0,14.0,0.0,0.0,,0.0,,16411.0
1970-01-01,9145.0,0.0,11846.0,3.0,0.0,13.0,0.0,0.0,,0.0,,20167.0
1971-01-01,7788.0,0.0,13710.0,5.0,0.0,5.0,0.0,0.0,,17.0,,16311.0
1972-01-01,4281.0,0.0,15692.0,5.0,0.0,667.0,0.0,0.0,,560.0,,30382.0
1973-01-01,7031.0,0.0,11414.0,5.0,0.0,0.0,0.0,0.0,,19.0,,33120.0
1974-01-01,8562.0,0.0,10739.0,5.0,0.0,0.0,0.0,0.0,,0.0,,27719.0
1975-01-01,8663.0,0.0,12253.0,0.0,0.0,0.0,0.0,0.0,,0.0,,31921.0
1976-01-01,9485.0,0.0,13446.0,0.0,0.0,0.0,0.0,0.0,,52.0,,25842.0
1977-01-01,8098.0,0.0,15997.0,0.0,0.0,536.0,0.0,0.0,,1149.0,,30587.0
1978-01-01,11693.0,0.0,13061.0,0.0,0.0,614.0,0.0,0.0,,2023.0,,32499.0
1979-01-01,13197.0,0.0,15883.0,0.0,0.0,481.0,0.0,0.0,,440.0,,37426.0
1980-01-01,9577.0,0.0,16262.0,0.0,0.0,55.0,0.0,0.0,,530.0,,41200.0
1981-01-01,11008.0,0.0,18447.0,0.0,0.0,0.0,0.0,0.0,,337.0,,48191.0
1982-01-01,8041.0,0.0,21368.0,0.0,0.0,100.0,0.0,0.0,,573.0,,41058.0
1983-01-01,13640.0,0.0,21765.0,0.0,0.0,35.0,0.0,0.0,,600.0,,38820.0
1984-01-01,14032.0,0.0,17543.0,0.0,0.0,100.0,0.0,9.0,,517.0,,38685.0
1985-01-01,16022.0,0.0,17697.0,0.0,0.0,400.0,0.0,0.0,,112.0,,24742.0
1986-01-01,15562.0,0.0,20783.0,7.0,0.0,500.0,0.0,0.0,,52.0,,27175.0
1987-01-01,9850.0,0.0,23518.0,7.0,0.0,500.0,0.0,0.0,800.0,933.0,,43215.0
1988-01-01,11295.0,0.0,12429.0,8.0,0.0,20.0,0.0,0.0,970.0,1643.0,,38506.0
1989-01-01,10767.0,0.0,16885.0,8.0,0.0,20.0,0.0,0.0,1150.0,194.0,,33528.0
1990-01-01,11760.0,0.0,21731.0,8.0,0.0,200.0,5.0,0.0,1200.0,546.0,,29106.0
1991-01-01,7103.0,1.0,24481.0,10.0,0.0,680.0,7.0,0.0,555.0,6241.0,,34899.0
1992-01-01,9853.0,0.0,19709.0,184.0,0.0,50.0,7.0,0.0,900.0,2019.0,,36838.0
