Country,Australia,Brazil,Canada,China,Egypt,India,Indonesia,Philippines,Russia,Turkey,United Kingdom,United States
Commodity,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat
Attribute,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production
Frequency,A,A,A,A,A,A,A,A,A,A,A,A
1960-01-01,7450.0,350.0,14108.0,20960.0,1499.0,10320.0,0.0,0.0,,7000.0,,36877.0
1961-01-01,6727.0,250.0,7713.0,14250.0,1436.0,10995.0,0.0,0.0,,6336.0,,33557.0
1962-01-01,8353.0,256.0,15392.0,16665.0,1593.0,12076.0,0.0,0.0,,6804.0,,29719.0
1963-01-01,8925.0,100.0,19690.0,18475.0,1493.0,10779.0,0.0,0.0,,7892.0,,31216.0
1964-01-01,10037.0,226.0,16349.0,20840.0,1500.0,9854.0,0.0,0.0,,7000.0,,34917.0
1965-01-01,7067.0,222.0,17674.0,25220.0,1272.0,12258.0,0.0,0.0,,7430.0,,34917.0
1966-01-01,12699.0,299.0,22516.0,25280.0,1465.0,10394.0,0.0,0.0,,8200.0,,35788.0
1967-01-01,7547.0,365.0,16137.0,28485.0,1299.0,11393.0,0.0,0.0,,9000.0,,41014.0
1968-01-01,14804.0,694.0,17689.0,27455.0,1526.0,16540.0,0.0,0.0,,8400.0,,42375.0
1969-01-01,10546.0,1146.0,18267.0,27285.0,1277.0,18651.0,0.0,0.0,,8300.0,,39272.0
1970-01-01,7890.0,1735.0,9024.0,29185.0,1519.0,20093.0,0.0,0.0,,8000.0,,36795.0
1971-01-01,8606.0,2034.0,14412.0,32575.0,1729.0,23832.0,0.0,0.0,,10700.0,,44052.0
1972-01-01,6590.0,694.0,14514.0,35985.0,1616.0,26410.0,0.0,0.0,,9500.0,,42081.0
1973-01-01,11987.0,2031.0,16159.0,35225.0,1837.0,24735.0,0.0,0.0,,8000.0,,46560.0
1974-01-01,11357.0,2858.0,13295.0,40865.0,1883.0,21778.0,0.0,0.0,,8300.0,,48496.0
1975-01-01,11982.0,1788.0,17078.0,45310.0,2033.0,24104.0,0.0,0.0,,11500.0,,57885.0
1976-01-01,11800.0,3216.0,23587.0,50385.0,1960.0,28846.0,0.0,0.0,,13000.0,,58480.0
1977-01-01,9370.0,2066.0,19862.0,41075.0,1697.0,29010.0,0.0,0.0,,13500.0,,55670.0
1978-01-01,18090.0,2691.0,21145.0,53840.0,1933.0,31749.0,0.0,0.0,,13300.0,,48322.0
1979-01-01,16188.0,2879.0,17185.0,62730.0,1856.0,35508.0,0.0,0.0,,13000.0,,58080.0
1980-01-01,10856.0,2676.0,19291.0,55210.0,1796.0,31830.0,0.0,0.0,,13000.0,,64798.0
